store_id,store_name,city,country,region,route_id,delivery_day,store_priority,floor_space_sqm,category_capacity_apparel_units,category_capacity_shoes_units,receiving_capacity_units_per_delivery,active_flag
STR043,Sport Store 43,City 43,NL,East,R03,Wednesday,0.87,278,625,233,850,1
STR044,Sport Store 44,City 44,FR,West,R04,Thursday,1.12,740,1687,536,850,1
STR045,Sport Store 45,City 45,PL,Central,R05,Friday,1.08,460,1197,472,850,1
STR046,Sport Store 46,City 46,IT,North,R06,Monday,1.22,260,733,212,850,1
STR047,Sport Store 47,City 47,BE,South,R07,Tuesday,0.9,429,1231,332,550,1
STR048,Sport Store 48,City 48,DE,East,R08,Wednesday,1.03,880,2199,683,350,1
STR049,Sport Store 49,City 49,ES,West,R09,Thursday,0.9,796,2544,540,450,1
STR050,Sport Store 50,City 50,ES,Central,R10,Friday,0.91,577,1777,577,550,1
STR051,Sport Store 51,City 51,DE,North,R01,Monday,1.12,776,2253,694,1000,1
STR052,Sport Store 52,City 52,ES,South,R02,Tuesday,0.9,787,1967,720,450,1
STR053,Sport Store 53,City 53,PL,East,R03,Wednesday,1.14,329,968,234,550,1
STR054,Sport Store 54,City 54,CZ,West,R04,Thursday,0.95,428,1235,424,850,1
STR055,Sport Store 55,City 55,DE,Central,R05,Friday,0.85,272,623,222,550,1
STR056,Sport Store 56,City 56,CZ,North,R06,Monday,1.07,353,1001,266,1000,1
STR057,Sport Store 57,City 57,NL,South,R07,Tuesday,1.07,657,1813,456,1000,1
STR058,Sport Store 58,City 58,DE,East,R08,Wednesday,0.97,598,1663,424,450,1
STR059,Sport Store 59,City 59,FR,West,R09,Thursday,0.99,260,805,190,450,1
STR060,Sport Store 60,City 60,NL,Central,R10,Friday,1.22,793,2445,644,850,1
STR061,Sport Store 61,City 61,BE,North,R01,Monday,0.86,462,1415,480,450,1
STR062,Sport Store 62,City 62,PL,South,R02,Tuesday,0.96,560,1670,456,1000,1
STR063,Sport Store 63,City 63,PL,East,R03,Wednesday,0.93,938,2164,936,700,1
STR064,Sport Store 64,City 64,PL,West,R04,Thursday,0.86,691,1761,675,450,1
STR065,Sport Store 65,City 65,ES,Central,R05,Friday,0.99,417,1083,317,350,1
STR066,Sport Store 66,City 66,IT,North,R06,Monday,1.23,741,1926,772,850,1
STR067,Sport Store 67,City 67,ES,South,R07,Tuesday,0.87,338,1040,255,850,1
STR068,Sport Store 68,City 68,BE,East,R08,Wednesday,1.09,830,2186,781,550,1
STR069,Sport Store 69,City 69,ES,West,R09,Thursday,0.87,743,1720,750,450,1
STR070,Sport Store 70,City 70,PL,Central,R10,Friday,1.0,666,1466,679,850,1
