sku_id,style_id,style_color_size,category,subcategory,color,size,season,lifecycle_status,unit_cost,selling_price,gross_margin_pct,pack_multiple,min_presentation_qty,replenishable_flag
SKU000023,STY0003,STY0003-Blue-M,Apparel,Jacket,Blue,M,FW26,Active,24.78,59.99,0.587,3,3,1
SKU000024,STY0003,STY0003-Blue-L,Apparel,Jacket,Blue,L,FW26,Active,18.0,49.99,0.64,6,2,1
SKU000025,STY0003,STY0003-Blue-XL,Apparel,Jacket,Blue,XL,FW26,Active,15.74,39.99,0.606,12,2,1
SKU000026,STY0003,STY0003-Orange-XS,Apparel,Jacket,Orange,XS,FW26,Active,12.93,34.99,0.63,6,4,1
SKU000027,STY0003,STY0003-Orange-S,Apparel,Jacket,Orange,S,FW26,Active,15.46,34.99,0.558,3,3,1
SKU000028,STY0003,STY0003-Orange-M,Apparel,Jacket,Orange,M,FW26,Active,19.65,49.99,0.607,6,3,1
SKU000029,STY0003,STY0003-Orange-L,Apparel,Jacket,Orange,L,FW26,Active,11.3,29.99,0.623,6,3,1
SKU000030,STY0003,STY0003-Orange-XL,Apparel,Jacket,Orange,XL,FW26,Active,28.37,59.99,0.527,3,4,1
SKU000031,STY0004,STY0004-Orange-XS,Apparel,Jacket,Orange,XS,FW26,Active,23.04,49.99,0.539,6,4,1
SKU000032,STY0004,STY0004-Orange-S,Apparel,Jacket,Orange,S,FW26,Active,35.64,79.99,0.554,12,2,1
SKU000033,STY0004,STY0004-Orange-M,Apparel,Jacket,Orange,M,FW26,Active,18.92,49.99,0.622,6,3,1
SKU000034,STY0004,STY0004-Orange-L,Apparel,Jacket,Orange,L,FW26,Active,12.01,29.99,0.6,12,4,1
SKU000035,STY0004,STY0004-Orange-XL,Apparel,Jacket,Orange,XL,FW26,Active,22.2,49.99,0.556,6,2,1
SKU000036,STY0004,STY0004-Black-XS,Apparel,Jacket,Black,XS,FW26,Active,25.16,59.99,0.581,6,4,1
SKU000037,STY0004,STY0004-Black-S,Apparel,Jacket,Black,S,FW26,Active,26.17,59.99,0.564,3,4,1
SKU000038,STY0004,STY0004-Black-M,Apparel,Jacket,Black,M,FW26,Active,18.38,49.99,0.632,6,2,1
SKU000039,STY0004,STY0004-Black-L,Apparel,Jacket,Black,L,FW26,Active,11.51,29.99,0.616,6,2,1
SKU000040,STY0004,STY0004-Black-XL,Apparel,Jacket,Black,XL,FW26,Active,19.62,49.99,0.608,6,3,1
SKU000041,STY0005,STY0005-Green-XS,Apparel,Jacket,Green,XS,Core,New,21.4,59.99,0.643,6,2,1
SKU000042,STY0005,STY0005-Green-S,Apparel,Jacket,Green,S,Core,New,28.71,79.99,0.641,12,2,1
SKU000043,STY0005,STY0005-Green-M,Apparel,Jacket,Green,M,Core,New,14.2,29.99,0.527,3,2,1
SKU000044,STY0005,STY0005-Green-L,Apparel,Jacket,Green,L,Core,New,22.18,59.99,0.63,3,3,1
SKU000045,STY0005,STY0005-Green-XL,Apparel,Jacket,Green,XL,Core,New,29.19,79.99,0.635,3,3,1
SKU000046,STY0005,STY0005-Blue-XS,Apparel,Jacket,Blue,XS,Core,New,30.66,79.99,0.617,6,2,1
SKU000047,STY0005,STY0005-Blue-S,Apparel,Jacket,Blue,S,Core,New,25.73,59.99,0.571,12,4,1
SKU000048,STY0005,STY0005-Blue-M,Apparel,Jacket,Blue,M,Core,New,13.53,29.99,0.549,3,3,1
SKU000049,STY0005,STY0005-Blue-L,Apparel,Jacket,Blue,L,Core,New,12.75,29.99,0.575,6,4,1
SKU000050,STY0005,STY0005-Blue-XL,Apparel,Jacket,Blue,XL,Core,New,37.44,79.99,0.532,6,3,1
SKU000051,STY0006,STY0006-Red-XS,Apparel,Track Pants,Red,XS,SS26,Active,12.71,34.99,0.637,6,4,1
SKU000052,STY0006,STY0006-Red-S,Apparel,Track Pants,Red,S,SS26,Active,27.28,59.99,0.545,12,2,1
SKU000053,STY0006,STY0006-Red-M,Apparel,Track Pants,Red,M,SS26,Active,16.77,39.99,0.581,12,3,1
SKU000054,STY0006,STY0006-Red-L,Apparel,Track Pants,Red,L,SS26,Active,12.47,29.99,0.584,6,2,1
SKU000055,STY0006,STY0006-Red-XL,Apparel,Track Pants,Red,XL,SS26,Active,22.84,49.99,0.543,3,3,1
SKU000056,STY0006,STY0006-Black-XS,Apparel,Track Pants,Black,XS,SS26,Active,17.3,39.99,0.567,6,4,1
SKU000057,STY0006,STY0006-Black-S,Apparel,Track Pants,Black,S,SS26,Active,14.23,34.99,0.593,12,4,1
SKU000058,STY0006,STY0006-Black-M,Apparel,Track Pants,Black,M,SS26,Active,30.81,79.99,0.615,12,3,1
SKU000059,STY0006,STY0006-Black-L,Apparel,Track Pants,Black,L,SS26,Active,20.33,49.99,0.593,12,4,1
SKU000060,STY0006,STY0006-Black-XL,Apparel,Track Pants,Black,XL,SS26,Active,15.67,39.99,0.608,3,2,1
SKU000061,STY0007,STY0007-Orange-XS,Apparel,Shorts,Orange,XS,SS26,Active,31.94,79.99,0.601,3,3,1
SKU000062,STY0007,STY0007-Orange-S,Apparel,Shorts,Orange,S,SS26,Active,14.94,39.99,0.626,3,3,1
SKU000063,STY0007,STY0007-Orange-M,Apparel,Shorts,Orange,M,SS26,Active,15.77,39.99,0.606,12,4,1
SKU000064,STY0007,STY0007-Orange-L,Apparel,Shorts,Orange,L,SS26,Active,16.89,39.99,0.578,12,2,1
SKU000065,STY0007,STY0007-Orange-XL,Apparel,Shorts,Orange,XL,SS26,Active,11.44,29.99,0.619,6,3,1
SKU000066,STY0007,STY0007-White-XS,Apparel,Shorts,White,XS,SS26,Active,26.91,59.99,0.551,12,3,1
SKU000067,STY0007,STY0007-White-S,Apparel,Shorts,White,S,SS26,Active,35.4,79.99,0.557,6,2,1
SKU000068,STY0007,STY0007-White-M,Apparel,Shorts,White,M,SS26,Active,11.64,29.99,0.612,6,4,1
SKU000069,STY0007,STY0007-White-L,Apparel,Shorts,White,L,SS26,Active,13.64,34.99,0.61,12,3,1
SKU000070,STY0007,STY0007-White-XL,Apparel,Shorts,White,XL,SS26,Active,21.09,49.99,0.578,6,3,1
SKU000071,STY0008,STY0008-Grey-XS,Apparel,Track Pants,Grey,XS,SS26,Active,15.19,39.99,0.62,12,2,1
SKU000072,STY0008,STY0008-Grey-S,Apparel,Track Pants,Grey,S,SS26,Active,14.62,39.99,0.634,12,4,1
SKU000073,STY0008,STY0008-Grey-M,Apparel,Track Pants,Grey,M,SS26,Active,13.12,34.99,0.625,12,3,1
SKU000074,STY0008,STY0008-Grey-L,Apparel,Track Pants,Grey,L,SS26,Active,17.76,39.99,0.556,12,4,1
SKU000075,STY0008,STY0008-Grey-XL,Apparel,Track Pants,Grey,XL,SS26,Active,19.09,39.99,0.523,3,3,1
SKU000076,STY0008,STY0008-Navy-XS,Apparel,Track Pants,Navy,XS,SS26,Active,13.89,34.99,0.603,6,2,1
SKU000077,STY0008,STY0008-Navy-S,Apparel,Track Pants,Navy,S,SS26,Active,33.55,79.99,0.581,6,2,1
SKU000078,STY0008,STY0008-Navy-M,Apparel,Track Pants,Navy,M,SS26,Active,12.65,29.99,0.578,12,2,1
SKU000079,STY0008,STY0008-Navy-L,Apparel,Track Pants,Navy,L,SS26,Active,37.03,79.99,0.537,6,2,1
SKU000080,STY0008,STY0008-Navy-XL,Apparel,Track Pants,Navy,XL,SS26,Active,12.73,29.99,0.576,6,3,1
SKU000081,STY0009,STY0009-Grey-XS,Apparel,Jacket,Grey,XS,FW26,Active,18.24,49.99,0.635,3,3,1
SKU000082,STY0009,STY0009-Grey-S,Apparel,Jacket,Grey,S,FW26,Active,17.98,49.99,0.64,12,4,1
SKU000083,STY0009,STY0009-Grey-M,Apparel,Jacket,Grey,M,FW26,Active,11.09,29.99,0.63,12,3,1
SKU000084,STY0009,STY0009-Grey-L,Apparel,Jacket,Grey,L,FW26,Active,14.37,29.99,0.521,3,4,1
SKU000085,STY0009,STY0009-Grey-XL,Apparel,Jacket,Grey,XL,FW26,Active,21.44,49.99,0.571,12,2,1
SKU000086,STY0009,STY0009-White-XS,Apparel,Jacket,White,XS,FW26,Active,23.96,59.99,0.601,6,3,1
SKU000087,STY0009,STY0009-White-S,Apparel,Jacket,White,S,FW26,Active,28.72,59.99,0.521,6,4,1
SKU000088,STY0009,STY0009-White-M,Apparel,Jacket,White,M,FW26,Active,21.47,59.99,0.642,12,2,1
SKU000089,STY0009,STY0009-White-L,Apparel,Jacket,White,L,FW26,Active,15.09,34.99,0.569,6,4,1
SKU000090,STY0009,STY0009-White-XL,Apparel,Jacket,White,XL,FW26,Active,11.11,29.99,0.63,3,4,1
SKU000091,STY0010,STY0010-Navy-XS,Apparel,T-Shirt,Navy,XS,Core,Active,19.39,49.99,0.612,3,3,1
SKU000092,STY0010,STY0010-Navy-S,Apparel,T-Shirt,Navy,S,Core,Active,30.94,79.99,0.613,6,2,1
SKU000093,STY0010,STY0010-Navy-M,Apparel,T-Shirt,Navy,M,Core,Active,30.42,79.99,0.62,6,4,1
SKU000094,STY0010,STY0010-Navy-L,Apparel,T-Shirt,Navy,L,Core,Active,26.15,59.99,0.564,3,3,1
SKU000095,STY0010,STY0010-Navy-XL,Apparel,T-Shirt,Navy,XL,Core,Active,12.62,29.99,0.579,12,2,1
SKU000096,STY0010,STY0010-Black-XS,Apparel,T-Shirt,Black,XS,Core,Active,18.29,39.99,0.543,3,2,1
SKU000097,STY0010,STY0010-Black-S,Apparel,T-Shirt,Black,S,Core,Active,15.85,34.99,0.547,12,4,1
SKU000098,STY0010,STY0010-Black-M,Apparel,T-Shirt,Black,M,Core,Active,28.18,59.99,0.53,6,2,1
SKU000099,STY0010,STY0010-Black-L,Apparel,T-Shirt,Black,L,Core,Active,21.97,49.99,0.561,12,3,1
SKU000100,STY0010,STY0010-Black-XL,Apparel,T-Shirt,Black,XL,Core,Active,16.6,39.99,0.585,6,3,1
SKU000101,STY0011,STY0011-Black-XS,Apparel,T-Shirt,Black,XS,SS26,Active,10.85,29.99,0.638,12,4,1
SKU000102,STY0011,STY0011-Black-S,Apparel,T-Shirt,Black,S,SS26,Active,28.41,59.99,0.526,12,3,1
SKU000103,STY0011,STY0011-Black-M,Apparel,T-Shirt,Black,M,SS26,Active,21.31,59.99,0.645,3,3,1
SKU000104,STY0011,STY0011-Black-L,Apparel,T-Shirt,Black,L,SS26,Active,26.08,59.99,0.565,6,2,1
SKU000105,STY0011,STY0011-Black-XL,Apparel,T-Shirt,Black,XL,SS26,Active,24.4,59.99,0.593,6,2,1
SKU000106,STY0011,STY0011-Red-XS,Apparel,T-Shirt,Red,XS,SS26,Active,19.76,49.99,0.605,6,3,1
SKU000107,STY0011,STY0011-Red-S,Apparel,T-Shirt,Red,S,SS26,Active,29.08,79.99,0.636,3,3,1
SKU000108,STY0011,STY0011-Red-M,Apparel,T-Shirt,Red,M,SS26,Active,22.0,49.99,0.56,6,4,1
SKU000109,STY0011,STY0011-Red-L,Apparel,T-Shirt,Red,L,SS26,Active,22.78,49.99,0.544,12,2,1
SKU000110,STY0011,STY0011-Red-XL,Apparel,T-Shirt,Red,XL,SS26,Active,18.07,49.99,0.639,6,3,1
SKU000111,STY0012,STY0012-Blue-XS,Apparel,T-Shirt,Blue,XS,Core,Exit,37.04,79.99,0.537,6,3,0
SKU000112,STY0012,STY0012-Blue-S,Apparel,T-Shirt,Blue,S,Core,Exit,11.23,29.99,0.626,6,4,0
SKU000113,STY0012,STY0012-Blue-M,Apparel,T-Shirt,Blue,M,Core,Exit,21.56,49.99,0.569,3,2,0
SKU000114,STY0012,STY0012-Blue-L,Apparel,T-Shirt,Blue,L,Core,Exit,16.85,39.99,0.579,6,3,0
SKU000115,STY0012,STY0012-Blue-XL,Apparel,T-Shirt,Blue,XL,Core,Exit,33.04,79.99,0.587,3,4,0
SKU000116,STY0012,STY0012-Orange-XS,Apparel,T-Shirt,Orange,XS,Core,Exit,27.23,59.99,0.546,12,2,0
SKU000117,STY0012,STY0012-Orange-S,Apparel,T-Shirt,Orange,S,Core,Exit,16.86,39.99,0.578,12,3,0
SKU000118,STY0012,STY0012-Orange-M,Apparel,T-Shirt,Orange,M,Core,Exit,11.37,29.99,0.621,3,3,0
SKU000119,STY0012,STY0012-Orange-L,Apparel,T-Shirt,Orange,L,Core,Exit,13.02,29.99,0.566,3,3,0
SKU000120,STY0012,STY0012-Orange-XL,Apparel,T-Shirt,Orange,XL,Core,Exit,31.03,79.99,0.612,12,3,0
SKU000121,STY0013,STY0013-Orange-XS,Apparel,Jacket,Orange,XS,Core,Active,18.74,49.99,0.625,12,4,1
SKU000122,STY0013,STY0013-Orange-S,Apparel,Jacket,Orange,S,Core,Active,37.14,79.99,0.536,3,3,1
SKU000123,STY0013,STY0013-Orange-M,Apparel,Jacket,Orange,M,Core,Active,19.71,49.99,0.606,12,3,1
SKU000124,STY0013,STY0013-Orange-L,Apparel,Jacket,Orange,L,Core,Active,11.6,29.99,0.613,6,4,1
SKU000125,STY0013,STY0013-Orange-XL,Apparel,Jacket,Orange,XL,Core,Active,28.79,59.99,0.52,6,2,1
SKU000126,STY0013,STY0013-Red-XS,Apparel,Jacket,Red,XS,Core,Active,21.0,49.99,0.58,6,3,1
SKU000127,STY0013,STY0013-Red-S,Apparel,Jacket,Red,S,Core,Active,26.95,59.99,0.551,6,3,1
SKU000128,STY0013,STY0013-Red-M,Apparel,Jacket,Red,M,Core,Active,18.52,39.99,0.537,12,2,1
SKU000129,STY0013,STY0013-Red-L,Apparel,Jacket,Red,L,Core,Active,23.98,59.99,0.6,6,2,1
SKU000130,STY0013,STY0013-Red-XL,Apparel,Jacket,Red,XL,Core,Active,17.87,39.99,0.553,12,3,1
SKU000131,STY0014,STY0014-Navy-XS,Apparel,Jacket,Navy,XS,FW26,Active,23.59,59.99,0.607,3,3,1
SKU000132,STY0014,STY0014-Navy-S,Apparel,Jacket,Navy,S,FW26,Active,12.55,29.99,0.582,6,2,1
SKU000133,STY0014,STY0014-Navy-M,Apparel,Jacket,Navy,M,FW26,Active,29.5,79.99,0.631,12,2,1
SKU000134,STY0014,STY0014-Navy-L,Apparel,Jacket,Navy,L,FW26,Active,12.33,29.99,0.589,6,3,1
SKU000135,STY0014,STY0014-Navy-XL,Apparel,Jacket,Navy,XL,FW26,Active,26.4,59.99,0.56,12,2,1
SKU000136,STY0014,STY0014-Red-XS,Apparel,Jacket,Red,XS,FW26,Active,18.43,39.99,0.539,12,3,1
SKU000137,STY0014,STY0014-Red-S,Apparel,Jacket,Red,S,FW26,Active,17.26,39.99,0.568,6,4,1
SKU000138,STY0014,STY0014-Red-M,Apparel,Jacket,Red,M,FW26,Active,12.9,29.99,0.57,3,4,1
SKU000139,STY0014,STY0014-Red-L,Apparel,Jacket,Red,L,FW26,Active,37.57,79.99,0.53,3,4,1
SKU000140,STY0014,STY0014-Red-XL,Apparel,Jacket,Red,XL,FW26,Active,12.19,29.99,0.594,3,4,1
SKU000141,STY0015,STY0015-White-XS,Apparel,Track Pants,White,XS,Core,Active,10.68,29.99,0.644,3,3,1
SKU000142,STY0015,STY0015-White-S,Apparel,Track Pants,White,S,Core,Active,15.95,39.99,0.601,3,2,1
SKU000143,STY0015,STY0015-White-M,Apparel,Track Pants,White,M,Core,Active,24.21,59.99,0.596,12,2,1
SKU000144,STY0015,STY0015-White-L,Apparel,Track Pants,White,L,Core,Active,13.04,34.99,0.627,12,3,1
SKU000145,STY0015,STY0015-White-XL,Apparel,Track Pants,White,XL,Core,Active,26.32,59.99,0.561,6,4,1
SKU000146,STY0015,STY0015-Red-XS,Apparel,Track Pants,Red,XS,Core,Active,13.3,34.99,0.62,12,3,1
SKU000147,STY0015,STY0015-Red-S,Apparel,Track Pants,Red,S,Core,Active,19.16,49.99,0.617,3,3,1
SKU000148,STY0015,STY0015-Red-M,Apparel,Track Pants,Red,M,Core,Active,17.52,39.99,0.562,3,2,1
SKU000149,STY0015,STY0015-Red-L,Apparel,Track Pants,Red,L,Core,Active,23.64,49.99,0.527,12,3,1
SKU000150,STY0015,STY0015-Red-XL,Apparel,Track Pants,Red,XL,Core,Active,38.0,79.99,0.525,12,3,1
SKU000151,STY0016,STY0016-Green-XS,Apparel,Jacket,Green,XS,FW26,Markdown,11.42,29.99,0.619,12,3,1
SKU000152,STY0016,STY0016-Green-S,Apparel,Jacket,Green,S,FW26,Markdown,23.3,59.99,0.612,12,3,1
SKU000153,STY0016,STY0016-Green-M,Apparel,Jacket,Green,M,FW26,Markdown,14.31,29.99,0.523,12,3,1
SKU000154,STY0016,STY0016-Green-L,Apparel,Jacket,Green,L,FW26,Markdown,14.04,39.99,0.649,12,4,1
SKU000155,STY0016,STY0016-Green-XL,Apparel,Jacket,Green,XL,FW26,Markdown,14.05,29.99,0.532,12,3,1
SKU000156,STY0016,STY0016-White-XS,Apparel,Jacket,White,XS,FW26,Markdown,18.03,39.99,0.549,3,4,1
SKU000157,STY0016,STY0016-White-S,Apparel,Jacket,White,S,FW26,Markdown,15.14,39.99,0.621,3,4,1
SKU000158,STY0016,STY0016-White-M,Apparel,Jacket,White,M,FW26,Markdown,17.52,39.99,0.562,12,4,1
SKU000159,STY0016,STY0016-White-L,Apparel,Jacket,White,L,FW26,Markdown,36.71,79.99,0.541,12,2,1
SKU000160,STY0016,STY0016-White-XL,Apparel,Jacket,White,XL,FW26,Markdown,34.72,79.99,0.566,6,3,1
SKU000161,STY0017,STY0017-Grey-XS,Apparel,T-Shirt,Grey,XS,Core,Markdown,17.88,39.99,0.553,3,2,1
SKU000162,STY0017,STY0017-Grey-S,Apparel,T-Shirt,Grey,S,Core,Markdown,15.82,34.99,0.548,6,4,1
SKU000163,STY0017,STY0017-Grey-M,Apparel,T-Shirt,Grey,M,Core,Markdown,28.12,59.99,0.531,3,3,1
SKU000164,STY0017,STY0017-Grey-L,Apparel,T-Shirt,Grey,L,Core,Markdown,23.78,49.99,0.524,6,4,1
SKU000165,STY0017,STY0017-Grey-XL,Apparel,T-Shirt,Grey,XL,Core,Markdown,18.18,39.99,0.545,6,2,1
SKU000166,STY0017,STY0017-Orange-XS,Apparel,T-Shirt,Orange,XS,Core,Markdown,15.68,34.99,0.552,3,4,1
SKU000167,STY0017,STY0017-Orange-S,Apparel,T-Shirt,Orange,S,Core,Markdown,35.01,79.99,0.562,6,4,1
SKU000168,STY0017,STY0017-Orange-M,Apparel,T-Shirt,Orange,M,Core,Markdown,14.47,39.99,0.638,6,2,1
SKU000169,STY0017,STY0017-Orange-L,Apparel,T-Shirt,Orange,L,Core,Markdown,16.79,39.99,0.58,6,3,1
SKU000170,STY0017,STY0017-Orange-XL,Apparel,T-Shirt,Orange,XL,Core,Markdown,35.79,79.99,0.553,6,4,1
SKU000171,STY0018,STY0018-Grey-XS,Apparel,Jacket,Grey,XS,SS26,Active,27.89,59.99,0.535,12,3,1
SKU000172,STY0018,STY0018-Grey-S,Apparel,Jacket,Grey,S,SS26,Active,22.72,59.99,0.621,3,4,1
SKU000173,STY0018,STY0018-Grey-M,Apparel,Jacket,Grey,M,SS26,Active,23.41,49.99,0.532,6,4,1
SKU000174,STY0018,STY0018-Grey-L,Apparel,Jacket,Grey,L,SS26,Active,18.25,49.99,0.635,3,2,1
SKU000175,STY0018,STY0018-Grey-XL,Apparel,Jacket,Grey,XL,SS26,Active,19.17,39.99,0.521,3,2,1
SKU000176,STY0018,STY0018-Black-XS,Apparel,Jacket,Black,XS,SS26,Active,16.28,34.99,0.535,3,3,1
SKU000177,STY0018,STY0018-Black-S,Apparel,Jacket,Black,S,SS26,Active,19.91,49.99,0.602,12,4,1
SKU000178,STY0018,STY0018-Black-M,Apparel,Jacket,Black,M,SS26,Active,24.27,59.99,0.595,12,4,1
SKU000179,STY0018,STY0018-Black-L,Apparel,Jacket,Black,L,SS26,Active,16.27,34.99,0.535,12,2,1
SKU000180,STY0018,STY0018-Black-XL,Apparel,Jacket,Black,XL,SS26,Active,21.5,49.99,0.57,6,2,1
SKU000181,STY0019,STY0019-Grey-XS,Apparel,Track Pants,Grey,XS,Core,Exit,14.51,39.99,0.637,12,3,0
SKU000182,STY0019,STY0019-Grey-S,Apparel,Track Pants,Grey,S,Core,Exit,28.03,59.99,0.533,12,3,0
SKU000183,STY0019,STY0019-Grey-M,Apparel,Track Pants,Grey,M,Core,Exit,12.05,29.99,0.598,3,2,0
SKU000184,STY0019,STY0019-Grey-L,Apparel,Track Pants,Grey,L,Core,Exit,18.09,49.99,0.638,3,4,0
SKU000185,STY0019,STY0019-Grey-XL,Apparel,Track Pants,Grey,XL,Core,Exit,34.21,79.99,0.572,3,2,0
SKU000186,STY0019,STY0019-White-XS,Apparel,Track Pants,White,XS,Core,Exit,15.26,39.99,0.618,3,4,0
SKU000187,STY0019,STY0019-White-S,Apparel,Track Pants,White,S,Core,Exit,12.56,34.99,0.641,12,2,0
SKU000188,STY0019,STY0019-White-M,Apparel,Track Pants,White,M,Core,Exit,22.68,59.99,0.622,3,3,0
SKU000189,STY0019,STY0019-White-L,Apparel,Track Pants,White,L,Core,Exit,15.83,34.99,0.548,12,2,0
SKU000190,STY0019,STY0019-White-XL,Apparel,Track Pants,White,XL,Core,Exit,18.46,39.99,0.538,3,2,0
SKU000191,STY0020,STY0020-Green-XS,Apparel,Leggings,Green,XS,Core,Active,11.01,29.99,0.633,6,2,1
SKU000192,STY0020,STY0020-Green-S,Apparel,Leggings,Green,S,Core,Active,23.52,59.99,0.608,3,3,1
SKU000193,STY0020,STY0020-Green-M,Apparel,Leggings,Green,M,Core,Active,10.99,29.99,0.634,6,4,1
SKU000194,STY0020,STY0020-Green-L,Apparel,Leggings,Green,L,Core,Active,13.4,29.99,0.553,6,3,1
SKU000195,STY0020,STY0020-Green-XL,Apparel,Leggings,Green,XL,Core,Active,16.66,39.99,0.583,3,3,1
SKU000196,STY0020,STY0020-Blue-XS,Apparel,Leggings,Blue,XS,Core,Active,22.72,59.99,0.621,12,2,1
SKU000197,STY0020,STY0020-Blue-S,Apparel,Leggings,Blue,S,Core,Active,36.14,79.99,0.548,12,4,1
SKU000198,STY0020,STY0020-Blue-M,Apparel,Leggings,Blue,M,Core,Active,16.38,39.99,0.59,3,2,1
SKU000199,STY0020,STY0020-Blue-L,Apparel,Leggings,Blue,L,Core,Active,23.0,49.99,0.54,6,4,1
SKU000200,STY0020,STY0020-Blue-XL,Apparel,Leggings,Blue,XL,Core,Active,12.41,29.99,0.586,6,2,1
SKU000201,STY0021,STY0021-Grey-XS,Apparel,T-Shirt,Grey,XS,Core,Active,25.93,59.99,0.568,12,4,1
SKU000202,STY0021,STY0021-Grey-S,Apparel,T-Shirt,Grey,S,Core,Active,15.98,39.99,0.6,12,4,1
SKU000203,STY0021,STY0021-Grey-M,Apparel,T-Shirt,Grey,M,Core,Active,16.36,39.99,0.591,12,3,1
SKU000204,STY0021,STY0021-Grey-L,Apparel,T-Shirt,Grey,L,Core,Active,13.59,29.99,0.547,3,4,1
SKU000205,STY0021,STY0021-Grey-XL,Apparel,T-Shirt,Grey,XL,Core,Active,37.12,79.99,0.536,12,4,1
SKU000206,STY0021,STY0021-Green-XS,Apparel,T-Shirt,Green,XS,Core,Active,14.2,34.99,0.594,3,3,1
SKU000207,STY0021,STY0021-Green-S,Apparel,T-Shirt,Green,S,Core,Active,18.3,39.99,0.542,6,3,1
SKU000208,STY0021,STY0021-Green-M,Apparel,T-Shirt,Green,M,Core,Active,28.99,79.99,0.638,6,3,1
SKU000209,STY0021,STY0021-Green-L,Apparel,T-Shirt,Green,L,Core,Active,30.65,79.99,0.617,3,4,1
SKU000210,STY0021,STY0021-Green-XL,Apparel,T-Shirt,Green,XL,Core,Active,17.93,49.99,0.641,3,2,1
SKU000211,STY0022,STY0022-White-XS,Apparel,Jacket,White,XS,SS26,Active,21.46,59.99,0.642,12,4,1
SKU000212,STY0022,STY0022-White-S,Apparel,Jacket,White,S,SS26,Active,17.48,39.99,0.563,6,3,1
SKU000213,STY0022,STY0022-White-M,Apparel,Jacket,White,M,SS26,Active,37.78,79.99,0.528,6,4,1
SKU000214,STY0022,STY0022-White-L,Apparel,Jacket,White,L,SS26,Active,14.27,29.99,0.524,12,3,1
SKU000215,STY0022,STY0022-White-XL,Apparel,Jacket,White,XL,SS26,Active,14.54,39.99,0.636,12,2,1
SKU000216,STY0022,STY0022-Grey-XS,Apparel,Jacket,Grey,XS,SS26,Active,15.23,34.99,0.565,3,2,1
SKU000217,STY0022,STY0022-Grey-S,Apparel,Jacket,Grey,S,SS26,Active,18.39,39.99,0.54,6,2,1
SKU000218,STY0022,STY0022-Grey-M,Apparel,Jacket,Grey,M,SS26,Active,16.98,39.99,0.575,6,4,1
SKU000219,STY0022,STY0022-Grey-L,Apparel,Jacket,Grey,L,SS26,Active,25.78,59.99,0.57,12,4,1
